missing;day_number;year;CODE;sv_date_from_db;temp;station;Tidsutsnitt:;;;;
;069;1980;1980069;09.03.1980;-1.3;Hemse;;;;;
;070;1980;1980070;10.03.1980;-1.9;Hemse;;;;;
;071;1980;1980071;11.03.1980;-2.7;Hemse;;;;;
;072;1980;1980072;12.03.1980;-0.5;Hemse;;;;;
;073;1980;1980073;13.03.1980;-1.5;Hemse;;;;;
;074;1980;1980074;14.03.1980;-1.2;Hemse;;;;;
;075;1980;1980075;15.03.1980;-1.3;Hemse;;;;;
;076;1980;1980076;16.03.1980;-1.9;Hemse;;;;;
;077;1980;1980077;17.03.1980;-3.8;Hemse;;;;;
;078;1980;1980078;18.03.1980;-4.7;Hemse;;;;;
;079;1980;1980079;19.03.1980;-5;Hemse;;;;;
;080;1980;1980080;20.03.1980;-9.6;Hemse;;;;;
;081;1980;1980081;21.03.1980;-8.7;Hemse;;;;;
;082;1980;1980082;22.03.1980;-7.5;Hemse;;;;;
;083;1980;1980083;23.03.1980;-8;Hemse;;;;;
;084;1980;1980084;24.03.1980;-6.1;Hemse;;;;;
;085;1980;1980085;25.03.1980;-4.7;Hemse;;;;;
;086;1980;1980086;26.03.1980;-4.6;Hemse;;;;;
;087;1980;1980087;27.03.1980;-2.1;Hemse;;;;;
;088;1980;1980088;28.03.1980;0.4;Hemse;;;;;
;089;1980;1980089;29.03.1980;1.2;Hemse;;;;;
;090;1980;1980090;30.03.1980;1.4;Hemse;;;;;
;091;1980;1980091;31.03.1980;1.2;Hemse;;;;;
;092;1980;1980092;01.04.1980;1.9;Hemse;;;;;
;093;1980;1980093;02.04.1980;0;Hemse;;;;;
;094;1980;1980094;03.04.1980;1.4;Hemse;;;;;
;095;1980;1980095;04.04.1980;2.2;Hemse;;;;;
;096;1980;1980096;05.04.1980;3.6;Hemse;;;;;
;097;1980;1980097;06.04.1980;2.8;Hemse;;;;;
;098;1980;1980098;07.04.1980;2.4;Hemse;;;;;
;099;1980;1980099;08.04.1980;2.8;Hemse;;;;;
;100;1980;1980100;09.04.1980;1.3;Hemse;;;;;
;101;1980;1980101;10.04.1980;3.4;Hemse;;;;;
;102;1980;1980102;11.04.1980;3.8;Hemse;;;;;
;103;1980;1980103;12.04.1980;6.2;Hemse;;;;;
;104;1980;1980104;13.04.1980;6.1;Hemse;;;;;
;105;1980;1980105;14.04.1980;7.4;Hemse;;;;;
;106;1980;1980106;15.04.1980;5.9;Hemse;;;;;
;107;1980;1980107;16.04.1980;6.9;Hemse;;;;;
;108;1980;1980108;17.04.1980;7.2;Hemse;;;;;
;109;1980;1980109;18.04.1980;5.4;Hemse;;;;;
;110;1980;1980110;19.04.1980;2.1;Hemse;;;;;
;111;1980;1980111;20.04.1980;1.8;Hemse;;;;;
;112;1980;1980112;21.04.1980;3.4;Hemse;;;;;
;113;1980;1980113;22.04.1980;3.3;Hemse;;;;;
;114;1980;1980114;23.04.1980;6.4;Hemse;;;;;
;115;1980;1980115;24.04.1980;7.2;Hemse;;;;;
;116;1980;1980116;25.04.1980;8;Hemse;;;;;
;117;1980;1980117;26.04.1980;5.3;Hemse;;;;;
;118;1980;1980118;27.04.1980;6.2;Hemse;;;;;
;119;1980;1980119;28.04.1980;8.8;Hemse;;;;;
;120;1980;1980120;29.04.1980;6.9;Hemse;;;;;
;121;1980;1980121;30.04.1980;4.3;Hemse;;;;;
;122;1980;1980122;01.05.1980;6.2;Hemse;;;;;
;123;1980;1980123;02.05.1980;4.2;Hemse;;;;;
;124;1980;1980124;03.05.1980;3.2;Hemse;;;;;
;125;1980;1980125;04.05.1980;2.4;Hemse;;;;;
;126;1980;1980126;05.05.1980;7.9;Hemse;;;;;
;127;1980;1980127;06.05.1980;6.4;Hemse;;;;;
;128;1980;1980128;07.05.1980;6.7;Hemse;;;;;
;129;1980;1980129;08.05.1980;7.9;Hemse;;;;;
;130;1980;1980130;09.05.1980;8.2;Hemse;;;;;
;131;1980;1980131;10.05.1980;7.2;Hemse;;;;;
;132;1980;1980132;11.05.1980;6.1;Hemse;;;;;
;133;1980;1980133;12.05.1980;6.2;Hemse;;;;;
;134;1980;1980134;13.05.1980;5.2;Hemse;;;;;
;135;1980;1980135;14.05.1980;5;Hemse;;;;;
;136;1980;1980136;15.05.1980;6.1;Hemse;;;;;
;137;1980;1980137;16.05.1980;12.6;Hemse;;;;;
;138;1980;1980138;17.05.1980;15;Hemse;;;;;
;139;1980;1980139;18.05.1980;12.7;Hemse;;;;;
;140;1980;1980140;19.05.1980;8.1;Hemse;;;;;
;141;1980;1980141;20.05.1980;4.3;Hemse;;;;;
;142;1980;1980142;21.05.1980;2.9;Hemse;;;;;
;143;1980;1980143;22.05.1980;3.8;Hemse;;;;;
;144;1980;1980144;23.05.1980;5.9;Hemse;;;;;
;145;1980;1980145;24.05.1980;7.3;Hemse;;;;;
;146;1980;1980146;25.05.1980;8.6;Hemse;;;;;
;147;1980;1980147;26.05.1980;7.6;Hemse;;;;;
;148;1980;1980148;27.05.1980;9.4;Hemse;;;;;
;149;1980;1980149;28.05.1980;11.6;Hemse;;;;;
;150;1980;1980150;29.05.1980;14.2;Hemse;;;;;
;151;1980;1980151;30.05.1980;11.1;Hemse;;;;;
;152;1980;1980152;31.05.1980;11.8;Hemse;;;;;
1;153;1980;1980153;01.06.1980;7.6;Visby;;;;;
1;154;1980;1980154;02.06.1980;14;Visby;;;;;
1;155;1980;1980155;03.06.1980;13.9;Visby;;;;;
1;156;1980;1980156;04.06.1980;10.6;Visby;;;;;
1;157;1980;1980157;05.06.1980;13.2;Visby;;;;;
1;158;1980;1980158;06.06.1980;12.1;Visby;;;;;
1;159;1980;1980159;07.06.1980;17.4;Visby;;;;;
1;160;1980;1980160;08.06.1980;16.7;Visby;;;;;
1;161;1980;1980161;09.06.1980;19.2;Visby;;;;;
1;162;1980;1980162;10.06.1980;20.7;Visby;;;;;
1;163;1980;1980163;11.06.1980;20.5;Visby;;;;;
1;164;1980;1980164;12.06.1980;11.3;Visby;;;;;
1;165;1980;1980165;13.06.1980;10.3;Visby;;;;;
1;166;1980;1980166;14.06.1980;13.8;Visby;;;;;
1;167;1980;1980167;15.06.1980;16;Visby;;;;;
1;168;1980;1980168;16.06.1980;19.3;Visby;;;;;
1;169;1980;1980169;17.06.1980;18.2;Visby;;;;;
1;170;1980;1980170;18.06.1980;16;Visby;;;;;
1;171;1980;1980171;19.06.1980;16;Visby;;;;;
1;172;1980;1980172;20.06.1980;15.6;Visby;;;;;
1;173;1980;1980173;21.06.1980;13.7;Visby;;;;;
1;174;1980;1980174;22.06.1980;13.4;Visby;;;;;
1;175;1980;1980175;23.06.1980;13.2;Visby;;;;;
1;176;1980;1980176;24.06.1980;13.6;Visby;;;;;
1;177;1980;1980177;25.06.1980;14.3;Visby;;;;;
1;178;1980;1980178;26.06.1980;13;Visby;;;;;
1;179;1980;1980179;27.06.1980;14.7;Visby;;;;;
1;180;1980;1980180;28.06.1980;14;Visby;;;;;
1;181;1980;1980181;29.06.1980;14.8;Visby;;;;;
1;182;1980;1980182;30.06.1980;14.5;Visby;;;;;
1;183;1980;1980183;01.07.1980;13.8;Visby;;;;;
1;184;1980;1980184;02.07.1980;14.9;Visby;;;;;
1;185;1980;1980185;03.07.1980;14.5;Visby;;;;;
1;186;1980;1980186;04.07.1980;15.2;Visby;;;;;
1;187;1980;1980187;05.07.1980;15.7;Visby;;;;;
1;188;1980;1980188;06.07.1980;15.8;Visby;;;;;
1;189;1980;1980189;07.07.1980;16.6;Visby;;;;;
1;190;1980;1980190;08.07.1980;15.7;Visby;;;;;
1;191;1980;1980191;09.07.1980;16.3;Visby;;;;;
1;192;1980;1980192;10.07.1980;14.9;Visby;;;;;
1;193;1980;1980193;11.07.1980;14.2;Visby;;;;;
1;194;1980;1980194;12.07.1980;15.4;Visby;;;;;
1;195;1980;1980195;13.07.1980;14.8;Visby;;;;;
1;196;1980;1980196;14.07.1980;13.6;Visby;;;;;
1;197;1980;1980197;15.07.1980;14.6;Visby;;;;;
1;198;1980;1980198;16.07.1980;14.2;Visby;;;;;
1;199;1980;1980199;17.07.1980;14.8;Visby;;;;;
1;200;1980;1980200;18.07.1980;14.2;Visby;;;;;
1;201;1980;1980201;19.07.1980;14.7;Visby;;;;;
1;202;1980;1980202;20.07.1980;14.6;Visby;;;;;
1;203;1980;1980203;21.07.1980;16.1;Visby;;;;;
1;204;1980;1980204;22.07.1980;16.1;Visby;;;;;
1;205;1980;1980205;23.07.1980;17.1;Visby;;;;;
1;206;1980;1980206;24.07.1980;16.5;Visby;;;;;
1;207;1980;1980207;25.07.1980;18.1;Visby;;;;;
1;208;1980;1980208;26.07.1980;20;Visby;;;;;
1;209;1980;1980209;27.07.1980;20.7;Visby;;;;;
1;210;1980;1980210;28.07.1980;20.8;Visby;;;;;
1;211;1980;1980211;29.07.1980;20.7;Visby;;;;;
1;212;1980;1980212;30.07.1980;20.7;Visby;;;;;
1;213;1980;1980213;31.07.1980;21.3;Visby;;;;;
1;214;1980;1980214;01.08.1980;19.6;Visby;;;;;
1;215;1980;1980215;02.08.1980;19.3;Visby;;;;;
1;216;1980;1980216;03.08.1980;19.2;Visby;;;;;
1;217;1980;1980217;04.08.1980;19.6;Visby;;;;;
1;218;1980;1980218;05.08.1980;20.3;Visby;;;;;
1;219;1980;1980219;06.08.1980;17;Visby;;;;;
1;220;1980;1980220;07.08.1980;17.2;Visby;;;;;
1;221;1980;1980221;08.08.1980;15;Visby;;;;;
1;222;1980;1980222;09.08.1980;14.7;Visby;;;;;
1;223;1980;1980223;10.08.1980;13.8;Visby;;;;;
1;224;1980;1980224;11.08.1980;13.1;Visby;;;;;
1;225;1980;1980225;12.08.1980;13.6;Visby;;;;;
1;226;1980;1980226;13.08.1980;14.5;Visby;;;;;
1;227;1980;1980227;14.08.1980;15.5;Visby;;;;;
1;228;1980;1980228;15.08.1980;17.5;Visby;;;;;
1;229;1980;1980229;16.08.1980;17.5;Visby;;;;;
1;230;1980;1980230;17.08.1980;15.5;Visby;;;;;
1;231;1980;1980231;18.08.1980;15.7;Visby;;;;;
1;232;1980;1980232;19.08.1980;15.3;Visby;;;;;
1;233;1980;1980233;20.08.1980;15.2;Visby;;;;;
1;234;1980;1980234;21.08.1980;14.7;Visby;;;;;
1;235;1980;1980235;22.08.1980;14.2;Visby;;;;;
1;236;1980;1980236;23.08.1980;15.4;Visby;;;;;
1;237;1980;1980237;24.08.1980;13.3;Visby;;;;;
1;238;1980;1980238;25.08.1980;13.8;Visby;;;;;
1;239;1980;1980239;26.08.1980;12.8;Visby;;;;;
1;240;1980;1980240;27.08.1980;13.8;Visby;;;;;
1;241;1980;1980241;28.08.1980;13.7;Visby;;;;;
1;242;1980;1980242;29.08.1980;14.6;Visby;;;;;
1;243;1980;1980243;30.08.1980;13;Visby;;;;;
1;244;1980;1980244;31.08.1980;12.1;Visby;;;;;
1;245;1980;1980245;01.09.1980;11.5;Visby;;;;;
1;246;1980;1980246;02.09.1980;13.3;Visby;;;;;
1;247;1980;1980247;03.09.1980;14.8;Visby;;;;;
1;248;1980;1980248;04.09.1980;15.9;Visby;;;;;
1;249;1980;1980249;05.09.1980;14.6;Visby;;;;;
1;250;1980;1980250;06.09.1980;14.1;Visby;;;;;
1;251;1980;1980251;07.09.1980;15.3;Visby;;;;;
1;252;1980;1980252;08.09.1980;16.9;Visby;;;;;
1;253;1980;1980253;09.09.1980;17.2;Visby;;;;;
1;254;1980;1980254;10.09.1980;13;Visby;;;;;
1;255;1980;1980255;11.09.1980;12.3;Visby;;;;;
1;256;1980;1980256;12.09.1980;11.9;Visby;;;;;
1;257;1980;1980257;13.09.1980;13.5;Visby;;;;;
1;258;1980;1980258;14.09.1980;13;Visby;;;;;
1;259;1980;1980259;15.09.1980;13.7;Visby;;;;;
1;260;1980;1980260;16.09.1980;13.3;Visby;;;;;
1;261;1980;1980261;17.09.1980;12;Visby;;;;;
1;262;1980;1980262;18.09.1980;12.1;Visby;;;;;
1;263;1980;1980263;19.09.1980;12.8;Visby;;;;;
1;264;1980;1980264;20.09.1980;13.2;Visby;;;;;
1;265;1980;1980265;21.09.1980;13.7;Visby;;;;;
1;266;1980;1980266;22.09.1980;13.5;Visby;;;;;
1;267;1980;1980267;23.09.1980;13.8;Visby;;;;;
1;268;1980;1980268;24.09.1980;13.5;Visby;;;;;
1;269;1980;1980269;25.09.1980;12.2;Visby;;;;;
1;270;1980;1980270;26.09.1980;11.6;Visby;;;;;
1;271;1980;1980271;27.09.1980;11.7;Visby;;;;;
1;272;1980;1980272;28.09.1980;10.3;Visby;;;;;
1;273;1980;1980273;29.09.1980;10.9;Visby;;;;;
1;274;1980;1980274;30.09.1980;12;Visby;;;;;
;275;1980;1980275;01.10.1980;11.3;Hemse;;;;;
;276;1980;1980276;02.10.1980;11.5;Hemse;;;;;
;277;1980;1980277;03.10.1980;8.4;Hemse;;;;;
;278;1980;1980278;04.10.1980;5.8;Hemse;;;;;
;279;1980;1980279;05.10.1980;8.9;Hemse;;;;;
;280;1980;1980280;06.10.1980;9;Hemse;;;;;
;281;1980;1980281;07.10.1980;10.9;Hemse;;;;;
;282;1980;1980282;08.10.1980;9.6;Hemse;;;;;
;283;1980;1980283;09.10.1980;9.9;Hemse;;;;;
;284;1980;1980284;10.10.1980;8.8;Hemse;;;;;
;285;1980;1980285;11.10.1980;8;Hemse;;;;;
;286;1980;1980286;12.10.1980;8.9;Hemse;;;;;
;287;1980;1980287;13.10.1980;8.3;Hemse;;;;;
;288;1980;1980288;14.10.1980;9.9;Hemse;;;;;
;289;1980;1980289;15.10.1980;8.6;Hemse;;;;;
;290;1980;1980290;16.10.1980;6.4;Hemse;;;;;
;291;1980;1980291;17.10.1980;8.9;Hemse;;;;;
;292;1980;1980292;18.10.1980;11.1;Hemse;;;;;
;293;1980;1980293;19.10.1980;8.4;Hemse;;;;;
;294;1980;1980294;20.10.1980;6.9;Hemse;;;;;
;295;1980;1980295;21.10.1980;2.1;Hemse;;;;;
;296;1980;1980296;22.10.1980;-0.5;Hemse;;;;;
;297;1980;1980297;23.10.1980;3.5;Hemse;;;;;
;298;1980;1980298;24.10.1980;8.6;Hemse;;;;;
;299;1980;1980299;25.10.1980;7.2;Hemse;;;;;
;300;1980;1980300;26.10.1980;-0.5;Hemse;;;;;
;301;1980;1980301;27.10.1980;2.2;Hemse;;;;;
;302;1980;1980302;28.10.1980;8.4;Hemse;;;;;
;303;1980;1980303;29.10.1980;7.8;Hemse;;;;;
;304;1980;1980304;30.10.1980;2.5;Hemse;;;;;
;305;1980;1980305;31.10.1980;-0.2;Hemse;;;;;
;306;1980;1980306;01.11.1980;-2;Hemse;;;;;
;307;1980;1980307;02.11.1980;-2.6;Hemse;;;;;
;308;1980;1980308;03.11.1980;-0.7;Hemse;;;;;
;309;1980;1980309;04.11.1980;-0.2;Hemse;;;;;
;310;1980;1980310;05.11.1980;0.3;Hemse;;;;;
;311;1980;1980311;06.11.1980;-0.3;Hemse;;;;;
;312;1980;1980312;07.11.1980;1.4;Hemse;;;;;
;313;1980;1980313;08.11.1980;1;Hemse;;;;;
;314;1980;1980314;09.11.1980;0.5;Hemse;;;;;
;315;1980;1980315;10.11.1980;-1.4;Hemse;;;;;
;316;1980;1980316;11.11.1980;-1.3;Hemse;;;;;
;317;1980;1980317;12.11.1980;3.1;Hemse;;;;;
;318;1980;1980318;13.11.1980;1.1;Hemse;;;;;
;319;1980;1980319;14.11.1980;3.9;Hemse;;;;;
;320;1980;1980320;15.11.1980;4.1;Hemse;;;;;
;321;1980;1980321;16.11.1980;5.9;Hemse;;;;;
;322;1980;1980322;17.11.1980;6.7;Hemse;;;;;
;323;1980;1980323;18.11.1980;7.7;Hemse;;;;;
;324;1980;1980324;19.11.1980;1.7;Hemse;;;;;
;325;1980;1980325;20.11.1980;-0.9;Hemse;;;;;
;326;1980;1980326;21.11.1980;6.7;Hemse;;;;;
;327;1980;1980327;22.11.1980;7.3;Hemse;;;;;
;328;1980;1980328;23.11.1980;8;Hemse;;;;;
;329;1980;1980329;24.11.1980;2.3;Hemse;;;;;
;330;1980;1980330;25.11.1980;-2.9;Hemse;;;;;
;331;1980;1980331;26.11.1980;-2;Hemse;;;;;
;332;1980;1980332;27.11.1980;-5.3;Hemse;;;;;
;333;1980;1980333;28.11.1980;1.3;Hemse;;;;;
;334;1980;1980334;29.11.1980;-1.3;Hemse;;;;;
;335;1980;1980335;30.11.1980;-5.1;Hemse;;;;;
;336;1980;1980336;01.12.1980;-0.9;Hemse;;;;;
;337;1980;1980337;02.12.1980;2.3;Hemse;;;;;
;338;1980;1980338;03.12.1980;-1.3;Hemse;;;;;
;339;1980;1980339;04.12.1980;-7;Hemse;;;;;
;340;1980;1980340;05.12.1980;-6.7;Hemse;;;;;
;341;1980;1980341;06.12.1980;-9.9;Hemse;;;;;
;342;1980;1980342;07.12.1980;-4;Hemse;;;;;
;343;1980;1980343;08.12.1980;-3.4;Hemse;;;;;
;344;1980;1980344;09.12.1980;3.4;Hemse;;;;;
;345;1980;1980345;10.12.1980;3.1;Hemse;;;;;
;346;1980;1980346;11.12.1980;3.3;Hemse;;;;;
;347;1980;1980347;12.12.1980;1.2;Hemse;;;;;
;348;1980;1980348;13.12.1980;4.4;Hemse;;;;;
;349;1980;1980349;14.12.1980;4.8;Hemse;;;;;
;350;1980;1980350;15.12.1980;4.7;Hemse;;;;;
;351;1980;1980351;16.12.1980;-1.8;Hemse;;;;;
;352;1980;1980352;17.12.1980;-1.4;Hemse;;;;;
;353;1980;1980353;18.12.1980;1.8;Hemse;;;;;
;354;1980;1980354;19.12.1980;1.1;Hemse;;;;;
;355;1980;1980355;20.12.1980;0.8;Hemse;;;;;
;356;1980;1980356;21.12.1980;2.7;Hemse;;;;;
;357;1980;1980357;22.12.1980;1.6;Hemse;;;;;
;358;1980;1980358;23.12.1980;3.5;Hemse;;;;;
;359;1980;1980359;24.12.1980;2.9;Hemse;;;;;
;360;1980;1980360;25.12.1980;3.1;Hemse;;;;;
;361;1980;1980361;26.12.1980;2.6;Hemse;;;;;
;362;1980;1980362;27.12.1980;-0.4;Hemse;;;;;
;363;1980;1980363;28.12.1980;2;Hemse;;;;;
;364;1980;1980364;29.12.1980;4;Hemse;;;;;
;365;1980;1980365;30.12.1980;3.8;Hemse;;;;;
;366;1980;1980366;31.12.1980;5.3;Hemse;;;;;
;001;1981;1981001;01.01.1981;1.7;Hemse;;;;;
;002;1981;1981002;02.01.1981;-0.9;Hemse;;;;;
;003;1981;1981003;03.01.1981;-2.8;Hemse;;;;;
;004;1981;1981004;04.01.1981;-3.3;Hemse;;;;;
;005;1981;1981005;05.01.1981;-5;Hemse;;;;;
;006;1981;1981006;06.01.1981;-8.4;Hemse;;;;;
;007;1981;1981007;07.01.1981;-7.4;Hemse;;;;;
;008;1981;1981008;08.01.1981;-4.1;Hemse;;;;;
;009;1981;1981009;09.01.1981;1.9;Hemse;;;;;
;010;1981;1981010;10.01.1981;-0.8;Hemse;;;;;
;011;1981;1981011;11.01.1981;-4.4;Hemse;;;;;
;012;1981;1981012;12.01.1981;0.3;Hemse;;;;;
;013;1981;1981013;13.01.1981;-2;Hemse;;;;;
;014;1981;1981014;14.01.1981;-2.7;Hemse;;;;;
;015;1981;1981015;15.01.1981;0;Hemse;;;;;
;016;1981;1981016;16.01.1981;-1.5;Hemse;;;;;
;017;1981;1981017;17.01.1981;-7.8;Hemse;;;;;
;018;1981;1981018;18.01.1981;-12;Hemse;;;;;
;019;1981;1981019;19.01.1981;-11.4;Hemse;;;;;
;020;1981;1981020;20.01.1981;-4.9;Hemse;;;;;
;021;1981;1981021;21.01.1981;-9.4;Hemse;;;;;
;022;1981;1981022;22.01.1981;-2.3;Hemse;;;;;
;023;1981;1981023;23.01.1981;0.6;Hemse;;;;;
;024;1981;1981024;24.01.1981;1.8;Hemse;;;;;
;025;1981;1981025;25.01.1981;0.7;Hemse;;;;;
;026;1981;1981026;26.01.1981;-4.9;Hemse;;;;;
;027;1981;1981027;27.01.1981;-4;Hemse;;;;;
;028;1981;1981028;28.01.1981;0.7;Hemse;;;;;
;029;1981;1981029;29.01.1981;0.7;Hemse;;;;;
;030;1981;1981030;30.01.1981;2.7;Hemse;;;;;
;031;1981;1981031;31.01.1981;4.7;Hemse;;;;;
;032;1981;1981032;01.02.1981;4.4;Hemse;;;;;
;033;1981;1981033;02.02.1981;3.5;Hemse;;;;;
;034;1981;1981034;03.02.1981;1.6;Hemse;;;;;
;035;1981;1981035;04.02.1981;1.1;Hemse;;;;;
;036;1981;1981036;05.02.1981;0;Hemse;;;;;
;037;1981;1981037;06.02.1981;-0.5;Hemse;;;;;
;038;1981;1981038;07.02.1981;2.5;Hemse;;;;;
;039;1981;1981039;08.02.1981;2.9;Hemse;;;;;
;040;1981;1981040;09.02.1981;-0.4;Hemse;;;;;
;041;1981;1981041;10.02.1981;-2.9;Hemse;;;;;
;042;1981;1981042;11.02.1981;0.1;Hemse;;;;;
;043;1981;1981043;12.02.1981;-0.9;Hemse;;;;;
;044;1981;1981044;13.02.1981;-4.1;Hemse;;;;;
;045;1981;1981045;14.02.1981;-3.2;Hemse;;;;;
;046;1981;1981046;15.02.1981;-1.4;Hemse;;;;;
;047;1981;1981047;16.02.1981;-1.9;Hemse;;;;;
;048;1981;1981048;17.02.1981;-0.6;Hemse;;;;;
;049;1981;1981049;18.02.1981;-1.2;Hemse;;;;;
;050;1981;1981050;19.02.1981;-3.9;Hemse;;;;;
;051;1981;1981051;20.02.1981;-3.9;Hemse;;;;;
;052;1981;1981052;21.02.1981;-3.8;Hemse;;;;;
;053;1981;1981053;22.02.1981;-3.7;Hemse;;;;;
;054;1981;1981054;23.02.1981;-0.7;Hemse;;;;;
;055;1981;1981055;24.02.1981;0.3;Hemse;;;;;
;056;1981;1981056;25.02.1981;-1.8;Hemse;;;;;
;057;1981;1981057;26.02.1981;-3.3;Hemse;;;;;
;058;1981;1981058;27.02.1981;-1.5;Hemse;;;;;
;059;1981;1981059;28.02.1981;-2;Hemse;;;;;
;060;1981;1981060;01.03.1981;-1;Hemse;;;;;
;061;1981;1981061;02.03.1981;-2;Hemse;;;;;
;062;1981;1981062;03.03.1981;-1.4;Hemse;;;;;
;063;1981;1981063;04.03.1981;-2.7;Hemse;;;;;
;064;1981;1981064;05.03.1981;-4.7;Hemse;;;;;
;065;1981;1981065;06.03.1981;-2.1;Hemse;;;;;
;066;1981;1981066;07.03.1981;-0.5;Hemse;;;;;
